Index,Height(Inches),Weight(Pounds),BMI
65,70.80592,135.3165,18.97435147
66,68.21951,109.6113,16.55745038
67,69.05914,142.4684,21.00059214
68,67.73103,132.749,20.34282313
69,67.21568,103.5275,16.10904737
70,67.36763,124.7299,19.32072242
71,65.27033,129.3137,21.33871418
72,70.84278,134.0175,18.77265274
73,69.92442,140.3969,20.18622446
74,64.28508,102.8351,17.49348441
75,68.2452,128.5214,19.39932197
76,66.35708,120.2991,19.20627617
77,68.36275,138.6036,20.84926678
78,65.4769,132.9574,21.80176327
79,69.71947,115.6233,16.72216604
80,67.72554,122.524,18.77896008
81,68.63941,134.6254,20.08793286
82,66.78405,121.8986,19.21359083
83,70.05147,155.3767,22.25905446
84,66.27848,128.9418,20.63497627
85,69.20198,129.1013,18.95173169
86,69.13481,139.4733,20.51411824
87,67.36436,140.8901,21.82606409
88,70.09297,131.5916,18.82931703
89,70.1766,121.1232,17.29012029
90,68.22556,131.5127,19.86226633
91,68.12932,136.5479,20.68103368
92,70.24256,141.4896,20.15947332
93,71.48752,140.6104,19.34248669
94,69.20477,112.1413,16.46072093
95,70.06306,133.457,19.11254323
96,70.55703,131.8001,18.6118902
97,66.28644,120.0285,19.2039388
98,63.42577,123.0972,21.51156479
99,66.76711,128.1432,20.20811168
100,68.88741,115.4759,17.10672869
101,64.87434,102.0927,17.05313026
102,67.09272,130.353,20.35755224
103,68.34761,134.1842,20.19342757
104,65.61073,98.64133,16.10884878
105,67.75551,114.5599,17.54279198
106,68.0212,123.4917,18.76309665
107,67.66193,123.048,18.89474874
108,66.3146,126.4772,20.21851519
109,69.43706,128.417,18.72385186
110,63.83624,127.1941,21.94258018
111,67.72277,122.0562,18.70879185
112,70.05098,127.6064,18.28097484
113,70.18602,131.6423,18.7866591
114,65.94588,111.8955,18.08808584
115,70.007,122.039,17.50535937
116,68.61129,128.5547,19.19782881
117,68.80817,132.6792,19.70054106
118,69.76212,136.0632,19.6542586
119,65.45539,115.9403,19.023872
120,68.82534,136.9041,20.31772363
121,65.8003,119.8804,19.46470208
122,67.21474,109.0055,16.96190749
123,69.42021,128.2705,18.71157163
124,68.94396,135.2913,20.00933915
125,67.9415,106.8558,16.27358225
126,65.62506,123.2939,20.12600093
127,66.49607,109.5143,17.4114203
128,67.92809,119.3087,18.17726891
129,68.89415,140.2402,20.77127497
130,70.241,133.9841,19.09093578
131,68.26623,132.5807,19.99971438
132,71.23161,130.6988,18.10845525
133,69.09747,115.5637,17.01580387
134,64.39693,123.7941,20.98577172
135,71.09585,128.1427,17.82217459
136,68.21868,135.9646,20.53877564
137,65.91721,116.6273,18.86939223
138,67.4369,126.8241,19.60477751
139,73.90107,151.3913,19.48743997
140,69.98149,130.4022,18.71862196
141,69.51862,136.2068,19.81307256
142,65.18437,113.3989,18.7619175
143,68.00869,125.3287,19.04921314
144,68.3384,127.5846,19.20542704
145,65.18417,107.1564,17.72920084
146,68.26209,116.4588,17.56986699
147,68.56865,133.8402,20.01200966
148,64.49675,112.8901,19.07811756
149,68.71053,130.7568,19.47031652
150,68.89148,137.7571,20.4050793
151,69.54011,125.4036,18.23033219
152,67.39964,138.4659,21.42806742
153,66.47521,120.8184,19.22068977
154,66.01217,140.1539,22.61062115
155,72.44434,136.7397,18.3164383
156,64.12642,106.1139,18.14068203
157,70.98112,158.9562,22.17926253
158,67.50124,108.7868,16.78448519
159,72.01515,138.7758,18.81140897
160,65.31143,115.9136,19.10342922
161,67.07509,146.2922,22.85882843
162,64.39148,109.8765,18.62959131
163,69.37003,139.0499,20.31338226
164,68.37921,119.9001,18.02713505
165,65.31018,128.3069,21.14674731
166,67.1369,127.2428,19.84567953
167,68.39468,115.2306,17.31723316
168,66.2918,124.7975,19.9637254
169,67.1866,126.9511,19.77090117
170,65.99156,111.2711,17.96225744
171,69.43393,122.6089,17.87861312
172,67.97463,124.2084,18.89785828
173,67.76133,124.6453,19.08391129
174,65.27864,119.5169,19.71707322
175,73.83364,139.2983,17.96356716
176,66.81312,104.8265,16.50832101
177,66.89411,123.0424,19.33011148
178,65.73568,118.8923,19.3422385
179,65.98283,121.4939,19.61769243
180,66.58396,119.2488,18.90906701
181,67.11294,135.0239,21.07431389
182,65.87481,116.228,18.8290036
183,66.78067,109.1731,17.2095464
184,68.73577,124.2237,18.4839243
185,66.22666,141.1645,22.62638192
186,65.95968,129.1501,20.86858448
187,68.58372,127.8693,19.11082948
188,66.59347,120.9244,19.1692877
189,66.96574,127.6466,20.0105595
190,68.08015,101.4693,15.39036719
191,70.19025,144.9927,20.68939941
192,65.52149,110.9523,18.16871048
193,67.45905,132.8625,20.52472294
194,67.40985,146.3385,22.63951937
195,69.66158,145.5894,21.09106161
196,65.79799,120.8431,19.62239116
197,66.10558,115.7813,18.62591028
198,68.23987,128.3019,19.36921551
199,68.02403,127.4718,19.36621407
200,71.39044,127.8761,17.63861944
201,65.7316,121.4997,19.76888264
202,66.43358,112.7148,17.95398908
203,70.01309,135.002,19.36141244
204,69.48146,128.6789,18.73806726
205,68.62764,124.4062,18.5694577
206,68.36275,140.026,21.06322945
207,68.39028,117.519,17.66341402
208,68.77413,143.8737,21.38388091
209,69.9236,141.1703,20.29789975
210,71.55542,155.9414,21.41074029
211,68.44764,134.0093,20.1082051
212,66.71398,130.0975,20.54899447
213,66.68413,106.2265,16.79357733
214,67.93699,112.0489,17.06673008
215,68.89855,136.1884,20.16857797
216,67.29191,131.236,20.37429542
217,69.57212,131.3231,19.073306
218,67.67479,119.5261,18.34696534
219,69.04155,116.9965,17.25468873
220,67.96765,138.5255,21.08048229
221,65.83982,109.6518,17.78254108
222,65.77288,130.1569,21.15089766
223,71.14106,137.1114,19.04531792
224,67.83055,113.759,17.38162651
225,65.0693,114.9725,19.08960888
226,69.70745,127.7149,18.47729961
227,69.92983,121.9972,17.53800717
228,66.11569,117.9607,18.9707105
229,68.61364,127.7141,19.07099065
230,68.9976,117.9619,17.41923647
231,66.79171,125.1554,19.72240137
232,68.02363,141.1026,21.43733199
233,69.67258,145.4822,21.06887755
234,71.82178,116.065,15.81773415
235,72.74676,135.7458,18.03243666
236,67.27951,132.9248,20.64408796
237,67.41015,115.6622,17.89353663
238,68.5315,114.3184,17.11161448
239,68.47126,148.952,22.33495205
240,68.51867,142.1878,21.29118389
241,63.72529,134.104,23.21525273
242,67.70483,141.8926,21.76084561
243,69.47115,138.7444,20.20979052
244,66.70198,134.449,21.24395876
245,65.23126,117.0167,19.33266104
246,69.89473,115.6752,16.64587852
247,69.83048,134.7905,19.43231558
248,65.3979,120.5746,19.81908267
249,68.32214,120.0835,18.08488455
250,65.93895,84.3598,13.63976262
251,70.09805,138.9394,19.87782534
252,66.05531,143.5245,23.12415637
253,68.23481,123.1347,18.59190144
254,65.21758,115.5261,19.09440273
255,69.16173,120.9844,17.78086988
256,67.60064,120.6473,18.5597156
257,67.28621,124.0352,19.25963902
258,66.84323,117.2238,18.44404891
259,68.08281,127.9598,19.40680014
260,66.56991,116.7527,18.52108045
261,70.16973,121.9957,17.41807826
262,67.85113,123.9952,18.93415939
263,66.62309,108.855,17.24067099
264,63.68816,104.6574,18.13877119
265,68.0356,132.248,20.08500756
266,66.941,127.1834,19.95268583
267,66.26292,125.1209,20.03291022
268,70.7301,133.322,18.73478014
269,70.70844,122.3364,17.20158674
270,73.26872,130.2636,17.05851384
271,63.79021,116.7431,20.16872678
272,67.84109,125.8534,19.22359656
273,67.78058,100.627,15.39782178
274,67.23901,118.4945,18.42514426
275,66.75701,137.1255,21.63115931
276,69.03098,118.6991,17.5111502
277,68.52652,124.1641,18.58805783
278,64.65419,124.9442,21.01251688
279,65.14295,126.3889,20.93772135
280,66.74124,121.5255,19.17936389
281,66.99923,133.2951,20.87516355
282,70.26611,127.4072,18.14084339
283,67.57666,125.08,19.25527617
284,66.30582,102.8114,16.43967764
285,68.90702,134.2212,19.87236271
286,65.60543,100.9758,16.4927492
287,68.00189,145.8886,22.17862996
288,69.93715,155.3046,22.32152096
289,70.1459,138.7175,19.81901173
290,66.66364,116.2611,18.39126938
291,69.40676,120.6087,17.60071937
292,66.80598,114.4083,18.02113662
293,67.70048,133.3406,20.45192702
294,69.13438,92.74955,13.64202972
295,67.53769,131.7825,20.31050223
296,65.77912,118.3865,19.23452155
297,66.25769,131.1466,21.00099056
298,67.39038,130.2033,20.15493983
299,64.94327,129.1836,21.5324974
300,69.25699,143.1445,20.97986869
301,69.07739,138.7307,20.43883147
302,69.64403,130.9528,18.98026737
303,69.07705,124.3032,18.31344588
304,68.01304,135.3702,20.57282924
305,68.85664,124.1988,18.41539639
306,63.19158,111.2389,19.58364744
307,65.57591,129.4037,21.15501644
308,69.12101,127.7444,18.79650242
309,69.78765,121.3311,17.51339373
310,67.48203,118.2183,18.25003735
311,69.08809,123.3441,18.16633559
312,68.5529,151.9118,22.72454371
313,68.21327,115.3108,17.42158129
314,67.1012,122.3844,19.10824558
315,71.23661,129.2323,17.90275674
316,69.11946,138.2824,20.3479921
317,65.49848,144.0565,23.60618144
318,66.58706,120.8482,19.16089677
319,67.99831,113.3034,17.22669756
320,72.57747,149.3227,19.92863299
321,67.97585,130.6373,19.87527869
322,66.62347,122.387,19.38367489
323,67.29574,133.8677,20.78049941
324,65.95951,134.8336,21.78705922
325,66.54011,137.8363,21.88526969
326,68.07723,112.6812,17.09239952
327,65.83291,121.1964,19.65888761
328,69.23721,114.9262,16.8536998
329,64.69413,110.3762,18.53962773
330,69.21372,126.0337,18.4951402
331,67.16792,118.7008,18.49631324
332,67.8467,119.3108,18.22122727
333,69.27389,150.7397,22.08227532
334,67.90547,121.1142,18.46464111
335,67.076,118.4065,18.50105767
336,70.01531,142.759,20.47259005
337,70.05454,145.6305,20.86099861
338,70.86714,127.3425,17.82538359
339,66.0586,115.9678,18.68245792
340,65.23745,104.4441,17.25223173
341,68.7413,138.4905,20.60344422
342,69.51946,145.5049,21.16509215
343,70.30764,124.4065,17.69266915
344,67.29982,124.1866,19.27534929
345,67.60582,126.1659,19.40569251
346,67.85566,138.8125,21.19394207
347,66.46536,121.5515,19.34304868
348,68.92071,114.2555,16.90958522
349,68.46886,129.4022,19.40487239
350,69.5193,137.5583,20.00927459
351,70.23956,134.4996,19.1651734
352,67.85651,127.7103,19.49836571
353,68.00435,115.6709,17.5835294
354,67.13983,131.5906,20.52200162
355,68.09931,127.5839,19.34041441
356,68.99077,125.7211,18.56870057
357,69.32618,119.9885,17.55094108
358,70.09286,140.8676,20.15667432
359,68.74304,136.9164,20.3682318
360,64.18633,118.4759,20.21623383
361,66.09074,129.5516,20.85051935
362,69.24418,152.0714,22.29648054
363,69.66512,120.8646,17.50748105
364,68.42721,136.1027,20.4345181
365,68.28613,130.0611,19.60820085
366,69.37684,131.7743,19.24673265
367,68.35315,139.38,20.97194539
368,72.32489,168.229,22.60896205
369,70.37159,127.6446,18.1202024
370,65.72927,131.8008,21.44646675
371,66.49627,122.8561,19.53248412
372,70.81339,140.2133,19.65684281
373,67.37579,142.6929,22.0978463
374,67.79709,137.4299,21.01911608
375,68.1607,126.0392,19.07185249
376,68.85782,143.5985,21.29112895
377,67.71342,122.62,18.80040211
378,64.66007,108.6044,18.26124591
379,65.73721,100.6617,16.37559353
380,68.42441,116.1397,17.4386918
381,68.88946,140.5293,20.81692833
382,68.27367,125.6907,18.95623014
383,69.18045,134.3329,19.73199288
384,72.60996,136.4649,18.19633364
385,66.04157,127.8822,20.61249891
386,69.2288,123.1361,18.06205299
387,68.87697,116.3375,17.23959205
388,66.46042,124.5581,19.82444953
389,69.30444,125.7853,18.41039462
390,67.58249,107.5905,16.56002062
391,69.41816,143.0236,20.8649253
392,67.46867,118.7434,18.33836054
393,66.44873,118.9856,18.94420393
394,68.76185,131.8744,19.60743195
395,63.76881,119.3691,20.63624233
396,69.03663,126.1223,18.60321651
397,66.48966,126.6122,20.13365654
398,66.74224,113.5597,17.92165055
399,67.69394,115.8413,17.77129857
400,66.69066,130.2738,20.59123408
401,67.02877,125.4542,19.62989743
402,65.91096,117.1655,18.96006408
403,70.0304,137.3184,19.6838862
404,69.26978,149.4447,21.89516518
405,70.07695,151.0695,21.62627563
406,64.90942,116.9994,19.52196378
407,69.68744,138.1787,20.00264401
408,67.56524,127.621,19.653089
409,63.85529,120.7514,20.81870621
410,71.6189,144.2537,19.77092523
411,64.98993,105.7939,17.60855888
412,64.60759,120.1567,20.23653884
413,62.01666,109.0848,19.93897454
414,65.28516,125.971,20.77767536
415,67.70163,110.2325,16.90700699
416,70.85794,134.4706,18.82806215
417,68.17075,115.5067,17.47295495
418,67.45006,125.1086,19.3320455
419,71.04224,116.4113,16.21500814
420,67.83032,133.3944,20.38192462
421,67.15488,108.7478,16.95198854
422,68.30289,134.3986,20.25218614
423,65.41208,131.2085,21.55764804
424,68.66755,130.8318,19.50587949
425,70.06733,127.0838,18.19761114
426,69.13413,119.4067,17.56301277
427,67.02078,105.5616,16.52122833
428,65.52274,134.4733,22.01949158
429,70.19808,132.6897,18.92962757
430,67.66866,126.058,19.35310195
431,69.73257,126.3532,18.26712613
432,67.61719,142.3603,21.88920468
433,70.79589,124.5873,17.47483193
434,69.65804,122.3604,17.72775383
435,66.73277,123.2298,19.4532767
436,67.58008,131.4049,20.2269072
437,65.25317,124.3037,20.52277822
438,70.71387,128.3836,18.04910465
439,71.27374,136.853,18.93871682
440,66.55913,118.0569,18.7340393
441,68.04247,121.4969,18.44847114
442,68.11699,119.2811,18.07240968
443,71.2367,126.5545,17.53175253
444,66.92387,129.2477,20.2869171
445,71.10381,134.7804,18.74115364
446,69.41466,146.0725,21.31186152
447,69.16807,162.4109,23.86487603
448,68.57725,130.1885,19.46111939
449,69.60315,132.1941,19.1826944
450,69.05087,127.4591,18.79264297
451,68.28699,125.3466,18.89695998
452,69.25276,134.7559,19.75281249
453,68.23862,121.9395,18.40938431
454,67.6868,125.6688,19.28301006
455,68.84083,145.956,21.65135506
456,69.52061,119.9207,17.44304622
457,66.97668,111.5093,17.4750804
458,72.0053,138.676,18.80302411
459,67.44482,135.0151,20.86606075
460,66.06214,116.509,18.76763393
461,65.5747,123.9575,20.26541534
462,68.30171,136.952,20.63766461
463,71.02603,153.0797,21.33230805
464,70.76882,126.357,17.73661433
465,67.50812,145.0614,22.3766548
466,69.50936,135.1739,19.66806295
467,66.4455,108.806,17.32515075
468,68.5689,110.5155,16.52434117
469,67.01296,138.2685,21.64516863
470,68.70004,119.5111,17.80121268
471,68.23013,115.3214,17.41457314
472,70.40713,132.3684,18.77181914
473,65.69989,93.99438,15.30833395
474,65.7031,127.4051,20.74772181
475,68.48055,134.3024,20.1328204
476,66.62891,124.9721,19.78987156
477,66.84285,124.072,19.52176994
478,69.89734,133.5476,19.21631527
479,67.6543,134.1509,20.60431145
480,68.30917,130.2489,19.62326968
481,69.74848,138.0935,19.95533701
482,68.57906,126.6064,18.92465317
483,68.14477,131.8076,19.95403443
484,67.98093,131.7363,20.03948625
485,64.82535,117.6261,19.67747106
486,69.20785,126.1943,18.52184939
487,69.2656,127.5132,18.68423275
488,70.9403,142.4785,19.90300343
489,69.07826,139.444,20.54340262
490,66.20183,110.3204,17.69583921
491,71.05779,131.9541,18.37193167
492,68.99493,129.2037,19.08077099
493,70.96089,124.3513,17.36071259
494,66.02496,126.5251,20.40401907
495,69.8641,149.2303,21.49335439
496,66.82802,142.1577,22.37734335
497,69.09424,127.1436,18.72259922
498,66.81425,122.3353,19.2649959
499,67.13183,112.6659,17.57481827
500,64.57428,134.2647,22.63591351
501,68.68038,120.6936,17.98764002
502,67.53724,115.783,17.84487483
503,71.17732,128.6855,17.85671947
504,70.53514,134.7611,19.04183541
505,71.53411,118.3419,16.25801449
506,66.77301,106.1557,16.73773686
507,66.33636,126.3823,20.19009234
508,64.83095,114.3716,19.12972604
509,68.38247,130.2787,19.58570343
510,68.05038,123.3066,18.71890924
511,69.09149,122.8571,18.09282854
512,69.91046,125.6932,18.07934901
513,68.40737,111.7247,16.78412613
514,68.32559,125.5516,18.90648505
515,66.95555,119.9702,18.81289121
516,70.54816,132.6043,18.7301627
517,69.37805,132.6738,19.37743618
518,67.52012,117.4521,18.11130317
519,64.87142,101.8549,17.01494081
520,69.13396,128.4418,18.89203929
521,68.81192,134.0414,19.90063474
522,67.56446,127.7511,19.67357808
523,68.16772,127.6172,19.30665339
524,65.80687,139.3971,22.62906419
525,64.92276,113.9381,19.00335797
526,68.35584,147.5188,22.19481078
527,66.71546,132.6523,20.95159738
528,69.18196,132.8139,19.50801725
529,65.88795,105.0942,17.0185315
530,66.03733,127.5187,20.55654817
531,69.44194,130.7305,19.05849299
532,67.14847,128.5815,20.0475622
533,65.69442,122.5699,19.96559197
534,69.42723,157.2961,22.94106649
535,66.54503,121.1097,19.22662266
536,69.04469,147.5061,21.75227763
537,67.62036,117.493,18.06393496
538,69.59105,132.4472,19.22610581
539,68.12343,118.1774,17.90180174
540,71.22641,123.7319,17.1456872
541,66.43285,130.365,20.76589078
542,66.31808,122.8882,19.6427197
543,68.02724,107.8693,16.38654833
544,68.2876,118.591,17.87818213
545,66.91609,125.6467,19.72628478
546,71.77546,148.6016,20.27808044
547,66.04535,150.279,24.21972064
548,69.01455,127.0678,18.75467379
549,68.70744,128.7122,19.16758968
550,65.012,118.4233,19.69724245
551,66.05857,125.3879,20.20005806
552,71.16403,149.2676,20.72047977
553,67.55274,107.3484,16.53731362
554,68.83455,133.6992,19.83678008
555,68.11811,124.8508,18.91565896
556,67.90528,112.7028,17.18236507
557,67.64085,127.8407,19.64293376
558,69.78282,134.1615,19.36806343
559,67.99889,138.6031,21.07291532
560,69.41465,126.044,18.38972461
561,70.42989,129.5856,18.36530092
562,67.67519,134.1054,20.58460906
563,67.88036,106.1251,16.1914284
564,68.06905,127.0561,19.2775335
565,66.99435,121.9241,19.09714862
566,71.57689,150.7365,20.68369395
567,64.36564,116.0061,19.68466226
568,67.93011,125.4748,19.11556775
569,69.91863,131.6099,18.92596637
570,69.93864,129.0696,18.55004311
571,66.79766,129.1117,20.34222374
572,70.11119,148.1624,21.18939966
573,68.94814,105.388,15.5848052
574,68.02886,110.5447,16.79217161
575,69.36148,118.6402,17.33606364
576,68.44886,122.8151,18.42784931
577,65.70282,124.887,20.3378265
578,69.55674,135.7695,19.72782039
579,65.84635,116.4563,18.88230031
580,68.79983,125.3617,18.61853338
581,69.03835,133.122,19.63470371
582,67.36352,138.3328,21.43043307
583,70.35788,124.4972,17.68029142
584,69.88828,136.7205,19.67796838
585,65.15319,115.0153,19.04756977
586,69.40907,132.6366,19.35469157
587,68.50874,143.1323,21.43882675
588,65.71552,134.7422,21.93426376
589,63.98308,122.6246,21.05729805
590,70.07685,153.5634,21.98335132
591,68.42542,126.289,18.962077
592,68.23665,134.7206,20.34014003
593,67.82856,134.5987,20.56700228
594,66.31277,118.3945,18.9274677
595,69.75128,121.2997,17.52712518
596,65.70901,132.2844,21.53843326
597,66.88227,139.0617,21.85449874
598,67.2791,110.698,17.19233057
599,70.63357,154.1073,21.71481943
600,69.9377,124.1592,17.84479401
601,65.87671,134.5173,21.79062383
602,72.44694,138.2622,18.5190496
603,70.07052,149.0801,21.34540108
604,67.68486,127.0075,19.48954152
605,66.1151,117.8222,18.9487748
606,69.94355,148.9096,21.3984679
607,68.24317,128.2151,19.35423972
608,68.80144,129.6944,19.26111806
609,66.61818,125.5674,19.89054576
610,70.18701,128.7947,18.37975989
611,65.58971,124.187,20.29364409
612,68.69566,151.4167,22.55643706
613,64.88639,106.9803,17.86289771
614,69.81993,145.6221,21.00021768
615,66.33962,121.5926,19.42300898
616,70.4434,130.9386,18.54993531
617,69.99163,135.6203,19.46201533
618,70.13617,123.9315,17.71140193
619,67.1793,131.9955,20.56096539
620,68.2034,117.484,17.75505407
621,67.76121,129.6577,19.85140882
622,64.79753,122.3706,20.48875228
623,66.47871,114.5867,18.22738514
624,66.98337,116.5401,18.25982977
625,65.69991,139.4307,22.70827701
626,66.82705,123.4822,19.43815779
627,66.35141,132.5492,21.16567501
628,70.13491,143.4013,20.4946226
629,70.11565,132.9429,19.01036889
630,64.56145,98.8972,16.67987415
631,68.15724,122.4342,18.52823634
632,67.1475,104.6767,16.32095818
633,70.88927,142.7847,19.97450337
634,68.16218,130.9283,19.81079529
635,71.19657,143.827,19.94700076
636,67.92444,142.2832,21.6798771
637,65.30204,107.9441,17.79511248
638,66.40756,105.6891,16.84808241
639,71.30647,125.4007,17.33793662
640,69.05997,106.4195,15.68641745
641,65.95442,118.5371,19.15674913
642,69.63776,136.7836,19.82895234
643,71.10495,145.9328,20.29123916
644,66.21851,129.637,20.78382555
645,66.13469,108.4955,17.43847111
646,67.7851,121.2537,18.55162012
647,66.67737,135.7399,21.46376611
648,69.99408,137.5026,19.73075101
649,71.1441,124.0052,17.22334269
650,68.63927,128.8613,19.22792951
651,69.08548,133.6811,19.69027478
652,67.97389,106.5185,16.20675692
653,65.94809,113.0398,18.27183907
654,66.02102,125.9639,20.31594199
655,71.23576,140.2945,19.43568477
656,67.52674,143.229,22.08181247
657,71.06935,145.8063,20.29396596
658,68.27178,128.1697,19.33117448
659,67.31932,134.1839,20.81499421
660,68.98848,140.2166,20.71102554
661,68.404,146.3453,21.98725978
662,67.092,132.0784,20.62745497
663,66.76866,122.13,19.25893917
664,65.64636,131.4693,21.44659623
665,65.34105,129.5167,21.32597409
666,68.18299,125.7451,19.01491162
667,70.65924,153.1384,21.56261886
668,65.94401,124.5559,20.13580162
669,69.62792,134.8225,19.55018438
670,68.29965,115.3877,17.38913125
671,70.06075,117.9618,16.89457035
672,68.43602,124.5647,18.69738292
673,69.27012,134.4043,19.69140064
674,67.70511,129.3092,19.83087394
675,70.89315,133.1423,18.62356557
676,70.54313,147.3609,20.8174792
677,71.58086,155.0132,21.26817293
678,68.42301,126.2905,18.96363803
679,69.35781,134.4605,19.6498529
680,70.445,134.0296,18.98697155
681,67.38153,128.9248,19.96227597
682,67.50767,123.0543,18.98217102
683,68.52054,112.1788,16.79672304
684,66.80858,111.7443,17.60014405
685,72.38532,148.4615,19.91902937
686,68.51642,136.7459,20.4776593
687,70.79791,133.2068,18.68275188
688,66.21905,116.8855,18.73915796
689,68.31167,124.8542,18.80912862
690,67.1715,121.5809,18.94307967
691,67.7714,123.197,18.85656328
692,67.47328,137.1255,21.17434106
693,67.77463,121.4941,18.59414454
694,69.20099,150.9398,22.1582001
695,70.04297,142.3009,20.39078126
696,70.56979,134.7527,19.02195503
697,66.45379,133.5585,21.26117922
698,67.68132,136.0895,20.88537623
699,65.75638,95.20216,15.47840956
700,69.3549,119.7404,17.50014833
701,70.5902,152.9146,21.57324389
702,67.27626,140.1991,21.77593794
703,68.48853,145.2503,21.76890947
704,67.02188,119.4855,18.69981537
705,65.77613,123.512,20.06909754
706,65.96579,110.6754,17.88005661
707,68.18868,111.4951,16.8572427
708,72.08595,139.4849,18.87040703
709,66.85358,133.088,20.93364652
710,69.10929,133.5196,19.65293805
711,64.5909,112.7698,19.00226907
712,67.03849,124.7975,19.52148105
713,68.99156,123.4224,18.2287707
714,70.59872,142.0921,20.04156371
715,70.08988,116.2814,16.64006215
716,65.6844,131.1256,21.36575968
717,67.0982,131.2493,20.49418165
718,66.03932,127.2422,20.51073903
719,69.26423,122.4523,17.94337984
720,66.61351,115.2431,18.25768126
721,68.11738,126.9532,19.23459767
722,69.73059,143.4439,20.73913935
723,64.02042,125.377,21.50483729
724,66.23753,109.0095,17.46672225
725,72.46761,139.2411,18.63952727
726,66.21938,102.182,16.38172018
727,71.2978,144.3898,19.96823051
728,63.1255,83.08527,14.6578306
729,70.93034,145.3938,20.31594971
730,68.25489,134.9267,20.36037073
731,64.78014,134.678,22.56151291
732,65.42982,111.4963,18.30898756
733,68.91361,119.7951,17.73308835
734,64.96937,95.70426,15.93930143
735,66.15237,117.159,18.82089038
736,65.98386,127.2356,20.54416675
737,69.2435,144.9205,21.24844364
738,68.31982,122.8464,18.50224094
739,70.11607,134.19,19.18846994
740,68.63521,124.9776,18.65063281
741,67.74289,135.8441,20.80983637
742,64.58641,120.8222,20.3619691
743,64.66165,125.0174,21.01997633
744,65.90771,133.5474,21.61316247
745,65.77649,124.5583,20.23888617
746,67.1506,135.9691,21.19804223
747,72.24339,143.5738,19.33901215
748,68.73199,130.5725,19.43073407
749,67.57019,127.192,19.58415515
750,70.36234,141.2372,20.05505586
751,63.62233,107.4236,18.65674551
752,66.20711,122.3234,19.61803961
753,66.22114,111.6055,17.89153559
754,70.0722,137.8915,19.7424622
755,69.6563,142.8742,20.70085736
756,66.25043,114.4349,18.32890063
757,68.0704,128.2736,19.46148622
758,67.14808,134.5725,20.98188233
759,68.76609,140.1034,20.82837255
760,68.12075,121.977,18.47882834
761,65.72987,111.4248,18.13057767
762,69.17439,135.0756,19.84456366
763,70.36351,132.9826,18.88231131
764,70.78557,117.7566,16.52156242
765,70.88083,134.9877,18.8882592
766,66.62148,151.6121,24.01378597
767,69.9829,128.9287,18.50636223
768,66.92866,120.1575,18.85740589
769,71.45806,125.6007,17.29198866
770,69.66344,127.8292,18.5172105
771,69.30943,136.1354,19.92240398
772,66.59775,116.2841,18.43132458
773,64.20209,127.0777,21.67336469
774,68.23051,125.7165,18.98411568
775,70.09021,121.0749,17.32585684
776,70.9755,122.7382,17.12845352
777,64.93134,119.4545,19.91815505
778,66.90106,132.9048,20.87516868
779,69.19803,132.8687,19.50700294
780,68.4149,124.3486,18.67647161
781,66.3163,132.2198,21.13543768
782,72.13467,142.804,19.29334804
